"","x"
"1",6709
"2",6633
"3",6660
"4",6786
"5",6800
"6",6730
"7",6765
"8",6720
"9",7133
"10",6946
"11",7095
"12",7047
"13",6757
"14",6915
"15",6921
"16",7064
"17",7206
"18",7190
"19",7402
"20",7819
"21",7300
"22",7105
"23",7259
"24",7001
"25",7475
"26",6840
"27",7061
"28",5845
"29",7529
"30",7819
"31",6943
"32",5714
"33",6556
"34",7045
"35",5947
"36",5463
"37",6127
"38",5540
"39",4235
"40",3324
"41",4793
"42",5906
"43",5834
"44",5240
"45",5458
"46",5505
"47",5002
"48",3999
"49",4826
"50",5318
"51",4681
"52",4442
"53",5305
"54",5466
"55",4995
"56",4573
"57",5081
"58",5696
"59",5079
"60",4373
"61",4986
"62",5341
"63",4800
"64",4161
"65",5007
"66",5464
"67",5127
"68",4240
"69",5338
"70",5129
"71",4437
"72",3642
"73",4602
"74",5524
"75",4895
"76",4380
"77",5186
"78",6080
"79",5588
"80",5009
"81",5663
"82",6540
"83",6262
"84",5169
"85",5819
"86",6339
"87",5981
"88",4766
"89",5976
"90",6590
"91",5590
"92",5135
"93",5762
"94",6077
"95",5882
"96",4247
"97",5264
"98",5146
"99",4868
"100",4329
"101",4869
"102",5127
"103",4868
"104",3827
"105",4987
"106",5222
"107",4928
"108",3930
"109",4469
"110",4954
"111",4752
"112",3888
"113",4588
"114",5309
"115",4732
"116",4837
"117",6135
"118",6396
